price,bedrooms,bathrooms,sqft_living,floors,year_built,zipcode
331000,3,2,1080,1,1954,98199
365000,3,3,2653,2,2006,98031
450000,3,2,2290,1,1960,98058
770000,4,3,3820,2,2014,98028
455000,4,3,2210,1,1997,98038
405000,3,2,2390,1,1908,98118
304900,4,2,2600,1,1969,98031
170000,2,1,860,1,1931,98178
2.05E+06,5,3,3830,2,1905,98122
780000,4,3,3500,2,2005,98053
330000,3,3,2420,1,1988,98028
370000,4,3,2720,2,1992,98030
467000,5,2,2500,1,1979,98072
405000,3,2,1670,1,1980,98034
675000,5,2,2900,1,1985,98006
500000,2,1,1640,1,1954,98006
389999,4,3,1890,2,1968,98166
630000,4,2,2950,1,1975,98034
170000,2,1,1280,2,1912,98001
580000,4,3,3280,2,1986,98056
550000,3,2,1970,2,1929,98126
879000,4,3,3360,2,1994,98075
265000,3,2,1320,1,1993,98042
446500,3,3,2650,2,1990,98059
404000,3,2,2030,1,1963,98108
267500,3,2,1590,1,1957,98188
3.08E+06,4,5,4550,1,2002,98074
335000,3,3,2440,2,1998,98003
576000,3,3,1940,1,1948,98117
208633,3,3,2040,2,2006,98038
315000,3,2,2200,1,1964,98166
725000,3,2,1920,1,1913,98112
550000,4,3,1800,1,1965,98177
610750,4,2,2180,2,1984,98074
550700,2,1,1010,2,1908,98105
665000,4,3,3320,2,1960,98056
834000,4,3,2370,2,1928,98144
201000,5,2,1660,2,1915,98065
2.38E+06,5,3,3650,2,1921,98119
1.38E+06,4,3,4290,1,1997,98006
1.40E+06,4,3,4290,1,1997,98006
305000,4,2,1950,1,1979,98058
487000,3,2,2590,1,1948,98133
390000,3,3,1930,1,1988,98042
548000,2,1,1470,1,1916,98103
268750,4,1,800,1,1943,98166
819900,5,3,3150,2,2013,98052
520000,3,2,2030,2,1984,98027
115000,2,1,1000,1,1913,98001
240000,3,2,1510,1,1969,98023
232000,2,1,1240,1,1922,98146
240500,2,1,1240,1,1922,98146
274975,3,3,3030,2,1987,98077
740000,4,2,2050,2,1922,98102
186375,3,1,1000,1,1952,98166
790000,3,2,2370,1,1977,98005
880000,4,4,2800,2,1951,98105
279000,6,2,2240,2,1955,98198
295000,3,2,1810,1,1991,98022
640000,2,1,1070,1,1924,98103
940000,4,2,2490,2,1968,98040
260000,4,3,1960,2,2003,98038
559900,3,3,2930,1,2004,98072
791500,4,2,1510,2,1911,98103
265000,3,2,1420,1,1954,98133
245000,3,2,1740,1,1954,98178
485000,4,2,2560,2,1962,98052
684000,4,4,3040,2,2010,98059
425000,3,2,2500,1,1957,98125
309600,4,2,1275,1,1991,98070
552250,4,3,2580,2,2002,98065
165000,4,1,1000,1,1943,98178
239900,4,1,1000,1,1943,98178
320000,2,1,1070,1,1930,98059
206600,3,2,1390,1,1987,98030
387000,4,2,2500,1,1973,98155
299000,1,1,560,1,1967,98014
855000,4,3,2270,2,1965,98040
315000,3,1,1900,1,1954,98166
437500,2,1,990,1,1907,98103
139950,0,0,844,1,1913,98001
375000,4,2,2200,1,1955,98118
300000,4,3,1910,2,2005,98038
420000,4,1,1750,2,1954,98006
900000,3,1,1330,1,1928,98033
679900,3,3,2440,2,2000,98116
463000,3,3,1640,2,1992,98053
380000,5,3,2760,2,1978,98059
329500,4,3,1820,2,1994,98038
604950,3,3,2110,1,2013,98033
795000,5,3,3040,1,1966,98006
465000,3,2,1840,2,1994,98045
673000,4,3,2990,2,2002,98166
810000,4,3,3520,2,1991,98074
785000,4,3,2440,1,1989,98075
338000,4,3,2090,1,1986,98056
280000,3,2,1430,2,1993,98056
315000,4,2,2180,1,1954,98133
530000,4,2,2180,1,1954,98133
380000,5,3,3450,2,2004,98023
297000,3,2,1450,2,1994,98056
730000,4,3,3230,2,2004,98075
450000,3,2,1640,1,1940,98125
275000,3,3,1590,1,1997,98038
595000,4,2,2020,2,1960,98115
435000,3,2,1300,2,1904,98144
270000,2,2,1380,1,1954,98011
950000,3,3,4040,2,1986,98077
389000,4,2,2130,2,2001,98019
560000,4,2,2550,1,1968,98052
1.35E+06,5,4,4800,2,1998,98006
799000,4,2,2510,2,1969,98040
365500,3,2,1410,1,1983,98072
252350,3,2,1650,1,1979,98058
403950,4,3,2120,2,1993,98146
385000,4,2,2040,1,1954,98177
345000,4,1,1550,2,1957,98106
490000,3,3,1980,2,1979,98008
330000,3,3,1600,2,2005,98019
1.57E+06,4,3,2970,2,1918,98004
1.12E+06,4,3,3840,2,1983,98040
330000,2,1,1220,1,1950,98028
530000,5,2,2720,1,1958,98008
365000,4,2,1940,1,1962,98006
378750,3,3,2160,2,1909,98118
269900,4,2,1530,2,1968,98058
557000,3,4,1710,2,2008,98122
360000,4,2,3730,1,1974,98022
352000,2,1,940,1,1937,98117
437000,3,3,1750,2,1994,98045
322500,4,3,1820,2,1994,98038
650000,3,3,1510,2,2001,98116
450000,3,2,1290,3,2001,98103
278500,3,2,1570,1,1998,98092
364950,4,3,1930,2,1995,98055
840000,4,4,2840,1,1986,98038
268000,3,3,1550,2,1991,98031
517534,2,1,833,1,2006,98070
632925,3,3,2990,2,1978,98077
577500,3,3,2000,2,1995,98034
339000,4,2,2390,2,1920,98178
570000,3,2,2910,1,1967,98052
563500,4,2,2085,1,1964,98024
423000,4,2,2200,1,1962,98133
355000,3,2,1860,2,2012,98019
1.55E+06,5,4,6070,2,1999,98024
482000,2,1,950,1,1941,98103
625000,3,2,1600,1,1955,98006
538000,3,3,2250,2,1988,98056
380000,3,3,2280,2,1985,98058
375000,2,1,940,1,1909,98122
245000,3,3,1530,1,1996,98038
310000,5,2,2190,1,1947,98166
1.01E+06,3,1,1640,2,1920,98004
397000,4,2,1440,1,1971,98034
365000,3,3,2200,2,2005,98058
328500,4,3,2290,2,1990,98042
988000,4,3,4040,2,1987,98052
1.00E+06,4,3,2610,2,1922,98103
237000,3,3,1490,2,2005,98055
525000,4,3,2450,2,2003,98011
749000,4,3,1710,1,1976,98006
722500,5,3,4870,2,1983,98074
843000,3,3,3130,2,1991,98052
438000,2,2,1270,3,2000,98115
578000,3,2,2120,1,1977,98146
240000,3,1,1690,2,1913,98001
168000,3,1,1150,2,1913,98001
641000,2,1,1420,1,1953,98105
350000,3,2,1250,1,1980,98038
205000,3,1,940,1,1960,98032
400000,3,2,1920,1,1968,98072
1.03E+06,3,3,3545,1,2005,98027
505000,3,2,1260,1,1972,98034
475000,5,3,2340,1,1975,98034
520000,3,2,2590,1,1977,98028
1.45E+06,3,5,3970,2,1977,98034
333500,3,2,1220,1,1965,98011
232000,3,1,1400,1,1976,98038
691100,3,3,2360,1,1983,98006
811000,3,2,1870,1,1960,98040
551000,3,3,2830,2,2001,98028
496500,3,3,2260,2,1994,98072
705000,3,3,1970,2,1980,98070
578000,4,3,3140,1,1966,98055
255000,3,2,1240,1,1986,98042
1.05E+06,4,4,3450,2,2007,98006
348000,3,2,2570,2,1989,98042
230000,3,2,1510,2,1985,98031
359500,4,2,2390,2,1988,98023
330000,3,1,980,1,1953,98133
80000,1,1,430,1,1912,98014
465000,3,2,1480,1,1954,98133
325000,4,3,1850,2,1997,98042
340500,3,2,2270,1,1947,98168
342500,3,3,1810,2,1993,98038
290900,2,2,1610,2,1930,98178
868700,3,4,3840,2,2000,98074
1.20E+06,4,3,4110,2,1928,98125
1.15E+06,4,3,4190,2,2000,98074
859900,4,3,3390,2,2011,98074
520000,4,2,1890,2,2003,98029
460000,3,3,1610,2,2005,98118
438924,3,2,1050,1,1949,98115
315000,2,1,630,1,1918,98126
590000,4,3,2910,1,1975,98033
378500,4,2,1700,1,1955,98006
328500,3,3,1950,2,1990,98042
849950,3,3,2990,2,1973,98005
525000,3,2,1350,1,1950,98136
1.39E+06,4,3,4860,3,1993,98074
295000,4,3,2160,1,1978,98023
1.07E+06,6,4,4860,2,1998,98006
207950,2,2,890,1,1917,98118
699900,4,3,2810,2,2002,98075
1.28E+06,5,3,3400,2,1977,98027
452000,4,2,1580,1,1963,98052
370000,3,2,1680,1,1987,98055
232000,3,2,1300,1,1968,98042
669950,5,3,2820,2,1960,98034
397500,3,2,1510,1,1972,98034
490000,2,3,1230,2,2004,98112
725000,4,2,2110,2,1925,98116
299000,3,3,3080,1,1958,98032
625000,2,2,1490,2,1900,98116
437500,3,3,2120,2,2000,98065
650000,4,3,3180,2,2003,98065
475000,2,1,1490,1,1929,98117
342000,3,2,1930,1,1966,98042
1.20E+06,4,3,2770,2,1999,98033
280000,3,2,1670,1,1963,98055
240000,2,2,1330,1,1993,98188
529000,3,1,1210,2,1924,98107
442000,3,1,1190,1,1941,98136
615000,2,1,1540,1,1946,98119
1.49E+06,4,4,4030,2,2006,98033
585000,4,2,2430,1,1981,98052
480000,4,3,2600,2,2005,98059
1.10E+06,5,4,4410,2,1990,98053
290000,4,1,1330,2,1949,98133
615000,3,2,1900,1,1951,98116
300000,2,1,1100,1,1950,98133
308000,3,1,1980,2,1932,98030
750000,3,3,2400,2,2001,98033
2.25E+06,4,2,4760,3,1916,98112
890000,4,3,3180,2,2005,98059
288000,3,1,1190,1,1958,98058
190000,2,1,630,1,1943,98178
515000,5,3,2530,1,2005,98133
235000,4,2,1690,1,1930,98055
275000,2,1,940,1,1951,98126
975000,4,2,2420,2,1925,98004
650000,4,3,3040,2,2003,98053
1.60E+06,6,5,6050,2,2001,98024
365000,4,1,1590,2,1944,98125
662000,3,2,2500,1,1984,98052
270500,3,3,1780,1,1978,98038
200000,2,2,1360,2,1978,98092
970000,4,3,4740,2,1987,98075
160000,3,2,1010,1,1962,98198
214000,3,1,1020,1,1900,98010
358000,3,2,1610,2,1985,98058
452000,4,2,1570,1,1979,98011
595000,2,2,1510,1,1900,98103
249000,3,2,1360,1,1994,98042
346900,4,3,1970,2,1999,98055
2.13E+06,3,3,5403,2,1976,98166
280000,4,3,1560,2,2003,98056
318888,4,2,2320,1,1973,98032
530000,3,2,2120,1,1967,98075
375000,3,2,2120,2,1983,98031
910000,4,3,3350,2,1988,98052
782000,4,3,2380,2,1991,98006
259950,2,2,1070,2,2008,98106
315000,4,3,2300,1,1979,98058
215000,2,1,1320,1,1943,98168
705000,3,2,2180,1,1946,98040
1.45E+06,3,3,4380,2,1952,98199
451000,3,2,1790,2,1949,98155
261000,2,1,750,1,1943,98055
396000,3,2,1300,1,1956,98028
725000,4,3,2990,2,1999,98059
1.95E+06,7,4,4640,2,1965,98040
238000,4,1,1400,2,1959,98188
750000,6,2,2750,2,1973,98052
331500,4,3,2050,2,1998,98042
460000,4,3,2230,1,1978,98065
404950,4,2,2340,1,1982,98092
880000,3,3,2870,2,2014,98103
863000,4,3,4120,2,1997,98074
638700,3,2,2080,1,1960,98005
435000,3,3,1840,2,2008,98053
260000,3,1,1180,2,1959,98178
671500,5,3,2160,2,1927,98105
610000,3,1,1180,2,1907,98109
405000,2,1,1160,1,1937,98014
338900,4,3,1830,2,2003,98038
720000,4,4,3200,2,2004,98075
442000,5,3,2560,2,1927,98108
650000,5,3,2550,2,1902,98122
263500,3,2,1330,1,1981,98058
300000,2,1,1220,1,1963,98038
266000,3,3,1805,2,2009,98002
930000,4,4,6050,3,2009,98077
530000,4,3,2320,2,2004,98028
180000,3,1,1384,1,1965,98023
619000,3,3,2720,2,2005,98065
264000,3,2,1820,1,1962,98003
730000,2,2,2130,2,1941,98116
439000,4,2,2060,2,1975,98034
268500,4,2,1420,1,1981,98031
330000,3,2,1510,1,1985,98045
640000,3,3,2160,2,1903,98122
900000,3,3,3180,2,1978,98074
370000,3,2,2110,2,1985,98038
685000,3,2,2060,2,1931,98144
505000,3,2,1830,1,1981,98053
265000,3,2,1820,1,1966,98022
290000,3,3,1610,2,2006,98055
296000,4,3,1780,2,2006,98038
360000,4,3,1840,2,1996,98178
240500,3,2,1460,1,1997,98168
372500,2,3,1400,2,2007,98126
595000,3,3,3370,2,2004,98045
515000,4,3,3590,2,1997,98023
1.22E+06,4,2,3200,2,1962,98040
507000,2,2,1670,1,2004,98053
399950,4,2,2420,1,1984,98092
206000,3,1,1050,1,1906,98010
460000,3,2,1440,1,1980,98052
435500,3,2,1450,2,1985,98029
469000,4,3,3550,1,1966,98188
531000,2,3,1270,2,2000,98103
443500,2,1,940,1,1949,98177
223000,3,2,1670,1,1990,98042
590000,4,4,3100,2,1996,98028
340000,2,3,1100,3,1997,98103
650000,3,2,1870,1,1925,98199
533600,3,3,1930,2,1990,98029
695000,3,3,2540,2,2005,98074
242000,3,2,1280,2,1988,98031
425000,3,2,1820,1,1967,98125
525000,3,2,1490,2,1981,98052
485000,3,3,1880,2,1988,98029
175000,3,1,1250,1,1971,98045
210000,3,2,1440,1,1983,98092
260000,3,3,1920,2,1989,98031
577000,3,3,2060,1,1976,98116
200000,3,2,1210,1,1958,98002
605000,2,2,1760,1,1927,98117
325000,3,1,990,1,1947,98133
289500,3,1,960,1,1944,98178
559950,3,3,1660,3,2014,98144
1.04E+06,3,2,1900,1,1941,98115
543500,3,2,1270,1,1970,98199
480000,4,2,3250,2,1983,98042
218000,3,1,960,1,1982,98022
565000,2,2,1330,1,1914,98199
426700,3,2,2080,1,1968,98056
650000,3,3,2690,1,1957,98028
542000,2,1,890,1,1910,98105
415000,3,2,1070,1,1977,98052
214000,3,1,1200,1,1953,98002
245000,3,2,1360,2,1949,98188
314500,3,2,2050,1,1993,98003
1.12E+06,3,2,3000,2,1924,98116
378000,2,2,1300,1,1963,98136
189950,4,2,1910,1,1919,98001
595000,5,3,3740,1,1978,98028
729500,3,3,1660,3,2015,98116
430000,3,3,2360,2,2003,98065
240000,3,2,1760,1,1987,98038
545000,3,2,1680,2,1916,98136
530000,3,2,1320,1,1918,98105
157000,1,1,870,1,1939,98198
425000,4,1,1260,2,1925,98146
220000,3,1,1000,1,1944,98166
521000,4,2,2020,1,1976,98077
325000,3,1,1920,1,1952,98118
597500,3,2,2150,2,1911,98126
337000,3,3,1470,2,1999,98065
1.00E+06,3,3,3180,2,1991,98052
3.07E+06,3,3,3930,1,1957,98034
495000,3,1,990,1,1943,98105
748000,4,4,2770,2,2001,98052
1.21E+06,4,4,3250,2,1930,98004
269900,3,2,1140,1,1986,98045
496500,4,3,2250,1,1967,98027
475000,3,3,1640,2,1969,98155
312000,3,2,1255,3,2004,98125
323000,3,1,1290,1,1976,98072
331000,3,2,1300,1,1986,98059
306000,3,2,1220,3,2007,98133
655000,4,3,2630,3,2002,98117
290000,3,2,1950,1,1959,98003
1.25E+06,4,3,3160,2,1965,98105
460000,3,2,1550,1,1949,98115
435000,4,3,1700,1,1940,98115
664000,4,3,2510,1,1978,98006
865000,4,2,1800,2,1921,98102
385000,3,2,1800,1,1968,98058
497000,3,2,1870,1,1975,98034
280000,2,1,1010,1,1925,98045
188000,2,2,1120,1,1924,98178
478500,3,1,2090,1,1969,98136
1.15E+06,4,4,4370,2,2001,98065
222000,3,2,1440,1,1981,98023
799000,4,3,2580,2,1984,98053
609900,4,3,3190,2,2006,98038
413000,4,4,2380,2,1995,98106
400000,4,1,1420,2,1930,98115
802541,5,3,2990,2,2014,98006
320000,3,3,2680,2,1990,98023
507000,4,3,2730,2,2006,98065
387500,3,1,1220,1,1946,98115
396000,3,1,1500,1,1967,98072
373000,3,2,1830,1,1958,98055
1.48E+06,5,3,4570,2,1965,98040
359900,4,2,2470,2,1983,98058
410000,2,1,800,1,1927,98115
690000,4,3,2900,2,1992,98053
245000,3,2,1410,1,1985,98030
700000,5,3,2830,1,1979,98075
268000,4,2,1680,1,1977,98198
225000,3,2,1760,1,1979,98042
7.06E+06,5,5,10040,2,1940,98004
795000,2,1,1380,2,1905,98106
195000,2,1,820,1,1953,98118
480000,4,2,2180,1,1950,98005
485000,4,2,1400,1,1900,98119
130000,2,1,880,1,1928,98188
325000,2,1,1060,1,1946,98198
440000,3,2,1530,1,1984,98034
550000,4,2,2480,1,1958,98155
310000,3,2,1490,1,1967,98059
530000,3,3,3660,2,1989,98022
390000,4,3,2340,2,1993,98031
199950,2,3,1590,2,1920,98001
639000,4,3,2210,2,1990,98074
215000,4,1,1130,1,1969,98003
405000,5,2,1550,1,1961,98011
250000,4,2,1710,1,1968,98032
405500,3,2,1010,1,1954,98155
452000,6,2,2660,2,1937,98125
730000,6,2,2660,2,1937,98125
208500,2,1,880,1,1906,98010
289950,3,3,1670,2,2002,98038
565000,2,1,960,1,1911,98103
1.58E+06,4,3,4670,2,1988,98005
636000,3,3,2140,2,2007,98052
350000,5,3,2520,1,2004,98178
320000,3,2,1650,1,1978,98058
210000,2,2,1440,1,1978,98198
245000,2,1,1050,1,1950,98126
328000,3,2,1470,1,1983,98059
985000,4,2,4230,2,1989,98077
501000,3,2,1970,1,1976,98055
315000,3,2,1540,2,1992,98045
403000,3,3,2090,2,2012,98019
550000,3,2,2380,2,1934,98155
347500,4,3,2156,2,2012,98030
365000,4,2,2070,2,1986,98058
588000,3,1,1910,1,1951,98117
605000,3,2,1920,1,1977,98006
1.30E+06,3,3,3400,2,1937,98105
280000,2,2,1894,2,1936,98001
360000,4,3,2210,2,1997,98030
459000,2,2,1170,1,1929,98117
740000,3,2,2100,1,1995,98077
305000,3,1,1160,1,1967,98077
395000,3,1,1500,1,1925,98117
560000,4,3,2940,2,2000,98011
650000,4,2,2010,1,1963,98116
449950,3,3,2170,2,2003,98028
517500,3,2,1430,1,1940,98117
435000,4,2,1510,1,1970,98034
329999,3,1,1150,1,1952,98155
950000,3,2,2150,1,1960,98116
447000,3,1,1370,1,1944,98108
699800,2,3,2380,1,2010,98053
850000,3,2,1370,1,1911,98112
316500,3,2,1600,1,1979,98023
942500,5,4,3750,1,1981,98006
1.31E+06,2,2,3950,2,1991,98116
856600,4,2,2400,1,1964,98005
405600,5,2,2830,3,1918,98118
565000,4,3,2440,2,1996,98053
400000,3,2,1190,2,2008,98116
330000,3,2,1400,1,1997,98019
374950,4,3,2730,2,2005,98038
